Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type,Wilderness_Area,Soil_Type
2723,53,10,182,57,210,226,218,126,2131,Aspen,Comanche Peak,_31
2784,150,8,30,-1,1842,230,240,142,2352,Aspen,Rawah,_19
2829,120,22,175,54,2055,251,216,81,1294,Aspen,Rawah,_15
2801,314,23,361,60,1822,154,215,199,1041,Aspen,Rawah,_12
2653,18,20,30,3,1355,200,193,124,598,Aspen,Comanche Peak,_31
2909,139,5,0,0,4884,228,238,144,1772,Aspen,Comanche Peak,_25
2697,83,12,30,7,2185,237,218,110,2541,Aspen,Rawah,_13
2890,97,18,170,29,2384,246,211,87,566,Aspen,Rawah,_15
2742,102,8,30,0,751,234,230,128,2166,Aspen,Rawah,_19
2887,201,15,495,182,1860,212,252,170,2048,Aspen,Rawah,_6
2840,51,16,210,58,1994,226,203,106,2062,Aspen,Rawah,_35
2814,198,17,417,118,845,212,252,169,1866,Aspen,Rawah,_6
2818,63,22,510,144,540,233,188,76,2430,Aspen,Comanche Peak,_26
2833,75,23,218,111,1883,241,189,66,716,Aspen,Rawah,_15
2771,121,14,342,117,1621,243,228,111,931,Aspen,Comanche Peak,_32
2889,114,18,362,118,604,248,218,91,1273,Aspen,Comanche Peak,_32
2908,34,25,361,183,1890,207,177,94,636,Aspen,Rawah,_35
2704,95,20,0,0,240,247,207,80,541,Aspen,Comanche Peak,_32
2795,63,28,228,126,256,231,171,53,1690,Aspen,Comanche Peak,_31
2830,186,21,134,82,1864,218,249,154,1057,Aspen,Rawah,_15
2887,208,8,30,1,1973,215,248,169,1530,Aspen,Rawah,_25
2840,178,12,836,62,2287,225,247,152,1620,Aspen,Rawah,_15
2784,89,31,90,0,190,248,172,28,1440,Aspen,Comanche Peak,_31
2828,178,7,0,0,2021,224,245,155,2442,Aspen,Rawah,_19
2849,55,17,180,61,2079,228,202,101,2155,Aspen,Rawah,_35
2915,5,3,0,0,4809,216,234,155,1880,Aspen,Comanche Peak,_25
2909,310,11,0,0,4943,190,233,183,1632,Aspen,Comanche Peak,_25
2898,339,7,42,7,1771,204,230,164,1543,Aspen,Rawah,_25
2823,95,14,297,70,1809,241,219,104,782,Aspen,Rawah,_33
2801,217,15,30,12,1814,203,253,183,1240,Aspen,Rawah,_25
2773,333,21,218,38,1694,166,208,178,1140,Aspen,Rawah,_12
2770,94,23,85,24,912,249,198,64,1399,Aspen,Rawah,_25
2730,54,11,268,56,285,226,217,123,2347,Aspen,Comanche Peak,_31
2747,62,21,268,79,285,233,193,83,2136,Aspen,Comanche Peak,_31
2750,45,9,0,0,618,223,221,133,2493,Aspen,Rawah,_19
2767,156,9,247,10,1742,230,241,143,2197,Aspen,Rawah,_15
2695,276,11,0,0,1487,191,242,191,1036,Aspen,Rawah,_25
2799,89,11,360,85,484,237,222,115,384,Aspen,Comanche Peak,_31
2800,120,5,0,0,1943,229,235,140,2408,Aspen,Rawah,_19
2741,328,6,201,59,1533,206,233,166,2106,Aspen,Rawah,_13
2917,166,23,430,166,1832,232,240,126,949,Aspen,Rawah,_15
2827,65,15,295,155,1233,233,207,102,779,Aspen,Rawah,_15
2893,83,4,210,2,1827,225,233,143,1398,Aspen,Rawah,_34
2863,18,23,362,191,1170,195,185,119,713,Aspen,Rawah,_15
2894,29,2,60,3,1758,218,233,152,1523,Aspen,Rawah,_34
2728,235,4,30,-5,1471,213,243,167,2465,Aspen,Rawah,_19
2839,196,20,120,50,1794,211,252,168,1365,Aspen,Rawah,_35
2816,33,19,459,145,466,213,196,112,2163,Aspen,Comanche Peak,_31
2848,81,8,120,21,990,231,226,128,268,Aspen,Comanche Peak,_32
2745,108,20,242,113,272,250,212,80,558,Aspen,Comanche Peak,_32
2897,140,14,258,78,2097,240,235,121,1065,Aspen,Rawah,_34
2664,59,14,0,0,1383,230,211,111,702,Aspen,Rawah,_35
2812,351,12,376,90,1852,198,219,159,967,Aspen,Rawah,_13
2803,176,26,60,20,1084,223,243,135,3010,Aspen,Rawah,_6
2772,98,38,134,100,1398,250,160,3,942,Aspen,Rawah,_15
2778,144,20,351,104,1740,244,232,108,1036,Aspen,Comanche Peak,_32
2741,36,8,524,42,120,220,222,138,800,Aspen,Rawah,_13
2649,143,15,0,0,1209,240,235,120,730,Aspen,Rawah,_4
2814,41,11,0,0,1123,222,216,129,2521,Aspen,Rawah,_13
2763,323,10,30,5,2121,194,230,175,765,Aspen,Rawah,_33
2809,52,16,150,21,1973,227,203,105,1983,Aspen,Rawah,_35
2821,96,24,390,172,395,250,198,62,1772,Aspen,Comanche Peak,_32
2637,61,10,0,0,1416,228,220,124,735,Aspen,Rawah,_35
2814,72,13,30,-6,1667,235,214,109,1798,Aspen,Rawah,_19
2811,82,22,218,125,240,244,195,70,1541,Aspen,Comanche Peak,_31
2807,63,18,60,17,2121,233,202,94,2118,Aspen,Rawah,_25
2710,135,12,108,36,1593,238,235,125,837,Aspen,Comanche Peak,_32
2723,76,31,127,64,150,240,168,36,1728,Aspen,Comanche Peak,_32
2977,179,21,190,47,256,223,247,146,725,Aspen,Rawah,_15
2886,90,28,330,214,1249,249,182,42,816,Aspen,Rawah,_15
2944,121,17,134,31,2271,246,225,102,543,Aspen,Rawah,_34
2905,354,4,150,22,1879,212,232,157,1426,Aspen,Rawah,_34
2887,331,5,256,55,810,208,234,164,1509,Aspen,Rawah,_13
2692,312,14,85,2,1544,182,229,187,2240,Aspen,Rawah,_19
2809,32,13,134,13,1711,216,210,127,1611,Aspen,Rawah,_33
2827,188,7,0,0,2018,221,245,159,2460,Aspen,Rawah,_19
2741,31,11,120,6,1577,217,216,133,1266,Aspen,Rawah,_12
2779,72,10,30,4,2197,232,220,119,1284,Aspen,Rawah,_15
2839,75,16,256,71,1782,238,207,95,1842,Aspen,Rawah,_35
2846,205,19,120,39,1832,205,254,177,1398,Aspen,Rawah,_35
2608,101,14,90,0,1200,242,221,106,513,Aspen,Comanche Peak,_32
2724,121,19,216,70,1530,249,221,91,824,Aspen,Comanche Peak,_32
2706,5,22,67,8,1218,187,192,137,2167,Aspen,Comanche Peak,_31
2798,113,13,120,11,600,241,227,113,190,Aspen,Comanche Peak,_32
2756,3,4,0,0,902,214,232,155,2207,Aspen,Rawah,_19
2732,42,7,0,0,518,221,225,139,2448,Aspen,Rawah,_19
2902,112,19,120,22,2395,249,217,89,531,Aspen,Rawah,_15
2831,200,21,382,130,725,207,253,172,1913,Aspen,Rawah,_6
2952,280,4,30,4,4726,208,240,170,2255,Aspen,Comanche Peak,_25
2809,171,21,301,103,630,229,244,137,551,Aspen,Comanche Peak,_32
2800,27,6,335,84,1812,217,226,145,1006,Aspen,Rawah,_13
2739,124,16,0,0,424,245,227,105,365,Aspen,Comanche Peak,_32
2894,229,18,524,189,1890,190,254,197,2018,Aspen,Rawah,_15
2772,118,17,108,-19,541,247,223,98,277,Aspen,Comanche Peak,_32
2680,91,22,30,13,180,247,200,71,612,Aspen,Comanche Peak,_32
2796,63,1,30,0,1919,220,236,153,2348,Aspen,Rawah,_19
2905,2,8,124,26,1855,209,224,154,1412,Aspen,Rawah,_34
2886,297,7,0,0,1718,199,238,178,1559,Aspen,Rawah,_25
2837,78,16,175,80,1531,239,209,95,1455,Aspen,Rawah,_35
2748,105,21,240,116,270,250,208,76,576,Aspen,Comanche Peak,_32
2755,87,31,210,109,218,247,173,31,1907,Aspen,Comanche Peak,_32
2842,62,28,309,187,323,231,172,55,1490,Aspen,Comanche Peak,_32
2837,50,24,277,151,295,222,181,80,1433,Aspen,Comanche Peak,_32
2884,277,12,0,0,2040,188,242,194,1421,Aspen,Rawah,_25
2650,50,15,0,0,1383,226,207,111,636,Aspen,Comanche Peak,_32
2788,280,18,242,93,993,167,239,210,1892,Aspen,Rawah,_6
2787,92,34,182,85,240,249,168,18,2613,Aspen,Comanche Peak,_32
